Scraping Date,Section,Product,Discount
2026-02-07,Accessories,"48Inch Ice Blue & Red DRL LED Brake with Side Turn Signal & Parking Indication Trunk,Boot,Dicky Light For Innova 2005-12",61
2026-02-07,Accessories,Aksmit Premium Metal Key Cover Compitable for Maruti Suzuki Ignis,57
2026-02-07,Women Clothing,"DELTIN HUB Lycra Petticoat ( Black , )",67
2026-02-07,Men Clothing,TAZO Nylon Men's Casual Jacket - Grey ( Pack of 1 ),70
2026-02-07,Accessories,Sonal Brown Plastic Storage Racks ( Pack of 1 ),38
2026-02-07,Footwear,Xtoon Multi Color Men's Korean Shoes,63
2026-02-07,Kids Fashion,Arshia Fashions Boys Cotton Yellow Kurta Pant Set ( Pack of 1 ),76
2026-02-07,Accessories,Anshri White Plastic Storage Racks ( Pack of 4 ),75
2026-02-07,Kids Fashion,"Nios Fashion Girls Cotton Polyester Jeans ( Pack of 2 , Multicolor 2 )",61
2026-02-07,Accessories,Sushil Silver Stainless Steel Cylinder Trolley ( Pack of 2 ),64
2026-02-07,Footwear,Cozy Wear Black Men's Daily Slipper,63
2026-02-07,Footwear,AROTEK Grey Men's Daily Slipper,76
2026-02-07,Women Clothing,NIVESTANA Women Viscose Rayon Gown ( Purple ),75
2026-02-07,Men Clothing,AZF Nylon Men's Windcheater Jacket - Dark Grey ( Pack of 1 ),71
2026-02-07,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Blue ),61
2026-02-07,Kids Fashion,"Arshia Fashions Girls Rayon Kurti with Salwar ( Pack of 1 , Blue )",79
2026-02-07,Accessories,Tender care Memory Foam Back / Lumbar Support Single Black,77
2026-02-07,Accessories,Rhosyn Gold Women's Hair Clip ( Pack of 1 ),63
2026-02-07,Footwear,KARADDI Brown Women's Formal Ballerinas,78
2026-02-07,Women Clothing,Shri Hub Cotton Women White Salwar,63
2026-02-07,Accessories,"5 In 1 Multi Pin Universal Portable Adapter And Car Mobile Charging Cable For (iPhone,Type C and Micro USB)",75
2026-02-07,Kids Fashion,"Arshia Fashions Net Frock For Girls ( Pack of 1 , Light Blue )",79
2026-02-07,Kids Fashion,"Arshia Fashions Net Lehenga Choli Set For Girls ( Pack of 1 , Green )",74
2026-02-07,Women Clothing,"BLYNK Lycra Petticoat ( Multicoloured , )",82
2026-02-07,Women Clothing,Gopalvilla Women Cotton Tummy & Thigh Shaper ( Black ),75
2026-02-07,Kids Fashion,KASEERA CUTE STYLISH AND TRENDING KIDS GYM VEST PACK OF 5,61
2026-02-07,Kids Fashion,"Bodara Fashion Girls Crepe Kurti with Pants ( Pack of 1 , Multicolor )",52
2026-02-08,Kids Fashion,"Arshia Fashions Polyester Blend Frock For Girls ( Pack of 1 , Red )",79
2026-02-08,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( Green ),61
2026-02-08,Men Clothing,eddicted Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),53
2026-02-08,Footwear,Seafoot White Men's Outdoor Shoes,68
2026-02-08,Women Clothing,TUHIRAJ Women Crepe Printed Gown ( Brown ),53
2026-02-08,Accessories,"delhideals Indian Flag for Car Dashboard, Office Table, Study Table & Drawing Table",67
2026-02-08,Women Clothing,PIYURZ Pack of 6 Poly Cotton Solid Women's Briefs ( Multi Color ),74
2026-02-08,Footwear,"ADISO Trendy ,outdoor stylish casual White Men's Outdoor Shoes",80
